Date, max_temp, avg_temp, min_temp, max_dew_pt, avg_dew_pt, min_dew_pt, max_humidity, avg_humidity, min_humidity, max_wind_speed, avg_wind_speed, min_wind_speed, max_pressure, avg_pressure, min_pressure, total_precipitation
6/1/21,78 ,67.4 ,57 ,53 ,49.9 ,43 ,84 ,56.5 ,29 ,17 ,5.8 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
6/2/21,75 ,67.8 ,63 ,56 ,52.0 ,48 ,78 ,57.3 ,49 ,15 ,8.3 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
6/3/21,73 ,65.3 ,61 ,64 ,60.2 ,55 ,93 ,83.9 ,71 ,9 ,6.3 ,3 ,30.1 ,30.0 ,29.9 ,0.00 
6/4/21,78 ,71.1 ,64 ,66 ,63.7 ,59 ,87 ,77.8 ,60 ,36 ,8.0 ,0 ,29.9 ,29.9 ,29.8 ,0.31 
6/5/21,93 ,81.4 ,66 ,63 ,59.8 ,56 ,87 ,52.2 ,29 ,16 ,8.0 ,0 ,29.9 ,29.9 ,29.8 ,0.67 
6/6/21,94 ,86.2 ,77 ,64 ,60.6 ,55 ,58 ,42.8 ,27 ,18 ,10.0 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
6/7/21,91 ,82.6 ,78 ,69 ,66.5 ,63 ,66 ,58.4 ,45 ,15 ,8.6 ,5 ,30.1 ,30.0 ,30.0 ,0.00 
6/8/21,91 ,78.6 ,72 ,71 ,68.6 ,65 ,87 ,72.5 ,48 ,16 ,6.5 ,0 ,30.0 ,30.0 ,30.0 ,0.00 
6/9/21,90 ,82.1 ,74 ,69 ,67.1 ,64 ,82 ,61.7 ,43 ,9 ,5.1 ,0 ,30.0 ,29.9 ,29.9 ,0.47 
6/10/21,80 ,75.0 ,66 ,66 ,54.7 ,44 ,76 ,50.3 ,31 ,17 ,9.6 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
6/11/21,68 ,64.8 ,62 ,59 ,52.5 ,46 ,81 ,64.9 ,52 ,13 ,8.9 ,3 ,30.0 ,29.9 ,29.9 ,0.00 
6/12/21,69 ,65.8 ,64 ,60 ,55.5 ,50 ,84 ,70.0 ,51 ,15 ,8.7 ,3 ,29.9 ,29.9 ,29.8 ,0.00 
6/13/21,76 ,68.6 ,63 ,59 ,55.0 ,53 ,76 ,62.5 ,46 ,14 ,7.6 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
6/14/21,74 ,68.6 ,66 ,64 ,61.1 ,56 ,88 ,77.4 ,64 ,16 ,9.6 ,5 ,29.9 ,29.8 ,29.7 ,0.02 
6/15/21,82 ,72.9 ,68 ,65 ,58.3 ,50 ,87 ,62.9 ,34 ,20 ,9.7 ,0 ,29.8 ,29.7 ,29.7 ,0.08 
6/16/21,76 ,70.6 ,64 ,54 ,45.1 ,37 ,68 ,42.7 ,26 ,23 ,12.9 ,8 ,29.9 ,29.8 ,29.8 ,0.00 
6/17/21,78 ,71.2 ,62 ,43 ,37.8 ,34 ,40 ,30.3 ,22 ,14 ,7.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
6/18/21,85 ,76.8 ,67 ,56 ,48.4 ,40 ,51 ,38.1 ,23 ,18 ,10.3 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
6/19/21,90 ,78.0 ,69 ,64 ,59.4 ,55 ,76 ,54.7 ,33 ,16 ,9.5 ,0 ,29.8 ,29.8 ,29.7 ,0.11 
6/20/21,87 ,78.8 ,69 ,68 ,62.3 ,58 ,70 ,57.4 ,44 ,16 ,8.5 ,3 ,29.8 ,29.8 ,29.7 ,0.00 
6/21/21,87 ,80.0 ,74 ,70 ,68.3 ,65 ,82 ,67.9 ,57 ,20 ,11.6 ,8 ,29.7 ,29.7 ,29.6 ,0.00 
6/22/21,80 ,70.3 ,62 ,68 ,60.4 ,49 ,81 ,71.0 ,58 ,21 ,11.5 ,3 ,29.9 ,29.7 ,29.6 ,0.00 
6/23/21,76 ,67.3 ,58 ,50 ,44.1 ,36 ,65 ,45.4 ,23 ,15 ,10.7 ,3 ,30.3 ,30.1 ,29.9 ,0.17 
6/24/21,78 ,69.8 ,63 ,56 ,50.1 ,43 ,75 ,51.3 ,29 ,17 ,8.3 ,0 ,30.4 ,30.3 ,30.3 ,0.00 
6/25/21,80 ,69.3 ,64 ,64 ,58.4 ,53 ,83 ,69.1 ,42 ,15 ,9.4 ,3 ,30.3 ,30.3 ,30.2 ,0.00 
6/26/21,84 ,76.4 ,69 ,70 ,67.3 ,64 ,87 ,73.9 ,61 ,18 ,11.1 ,7 ,30.2 ,30.2 ,30.1 ,0.00 
6/27/21,88 ,81.2 ,75 ,70 ,68.7 ,67 ,83 ,66.5 ,53 ,16 ,11.8 ,8 ,30.2 ,30.1 ,30.1 ,0.00 
6/28/21,95 ,85.6 ,77 ,70 ,68.6 ,67 ,74 ,57.6 ,40 ,17 ,11.7 ,8 ,30.2 ,30.2 ,30.1 ,0.00 
6/29/21,98 ,89.7 ,81 ,71 ,68.3 ,66 ,63 ,49.8 ,37 ,20 ,10.7 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
6/30/21,100 ,88.2 ,75 ,70 ,67.6 ,64 ,82 ,53.1 ,32 ,24 ,12.4 ,0 ,30.1 ,29.9 ,29.8 ,0
